text,labels
open temperature. put that song in my favorite list. remind,"['weather_query', 'music_likeness', 'calendar_set']"
hey what time is it in london now. let's have the lights blue. please schedule a meeting with derrick in haysi at noon,"['datetime_query', 'iot_hue_lightchange', 'calendar_set']"
best paid jobs in digital marketing in my area. remove birthday from calendar. open company name and find complaints,"['general_quirky', 'calendar_remove', 'social_post']"
what did vogue post today. i need some details about bruce lee please assist. what jacket should i wear. did you place the reminder about the meeting for tomorrow,"['news_query', 'qa_factoid', 'weather_query', 'calendar_query']"
please book a train ticket from london to manchester. what shops are round here. what date is it today,"['transport_ticket', 'recommendation_locations', 'datetime_query']"
olly if any new news comes out about the flood can you let me know right away. set an alert for two p. m.. did i remember to set a reminder alarm for my next doctor's appointment,"['news_query', 'alarm_set', 'alarm_query']"
please clear my calendar,['calendar_remove']
does pink have a new baby. give me the description of a smartphone circuit. send an email to juanpedro at gmail dot com,"['qa_factoid', 'qa_definition', 'email_sendemail']"
alert me at the time of the event. will the temperature be higher than forty tomorrow. check email about my job. did anyone like my photo i just posted,"['calendar_set', 'weather_query', 'email_query', 'social_query']"
remove the list,['lists_remove']
dictate email. is the song by shakira. clear everything off my calendar for the rest of the year,"['email_sendemail', 'music_query', 'calendar_remove']"
are there any new emails received after four o'clock today,['email_query']
play the oldies station. what size is a sperm whale. set a repeating reminder alarm for the facebook event i have to attend on seventh april,"['play_radio', 'qa_factoid', 'alarm_set']"
remove pencil from stationary. find today's wapo articles about trump,"['lists_remove', 'news_query']"
what is the difference between roman and grigorean calendar. tell me that list i wrote two days ago,"['qa_factoid', 'lists_query']"
i want you to go to hot one hundred and five on the radio,['play_radio']
news from c. n. n.,['news_query']
need to check my list. set repeating reminder for every sunday,"['lists_query', 'calendar_set']"
can you play me a rap song on the radio. olly tell me the time in g. m. t. plus five. do not speak today. please play this playback on audiobook,"['play_radio', 'datetime_convert', 'audio_volume_mute', 'play_audiobook']"
have i received any emails since noon. start podcasts on n. f. l.. what are the coordinates of the equator. remove the second row from the list,"['email_query', 'play_podcasts', 'qa_factoid', 'lists_remove']"
give me the train time. birthday. tweet esurance and tell them they suck. create reminder for laundry at eight p. m.,"['transport_query', 'calendar_set', 'social_post', 'calendar_set']"
please tune nine hundred and thirty eight f. m. radio mirchi,['play_radio']
what's the date,['datetime_query']
hows the food order going,['takeaway_query']
do they deliver home. can you delete the next event. play me a random audio book that has to do with love. go backward thirty seconds,"['takeaway_query', 'calendar_remove', 'play_audiobook', 'play_podcasts']"
add tomorrows dinner date to the calendar,['calendar_set']
play slayer,['play_music']
look for apple pie recipe. play football with me. what is the capitol of west virginia,"['cooking_recipe', 'play_game', 'qa_factoid']"
read me new post on my feed,['social_query']
turn up the brightness,['iot_hue_lightup']
what date is it today. remind me to water my plants every tuesday thursday and saturday. what are my plans for the month of may. play me john's podcast,"['datetime_query', 'calendar_set', 'calendar_query', 'play_podcasts']"
do i have a grocery list ready,['lists_query']
how long will it take to get to the airport. how many square miles is the average country on earth,"['transport_query', 'qa_factoid']"
what are the latest crime statistics for me area. make the light in here redder,"['news_query', 'iot_hue_lightchange']"
meetings from twenty to twenty five june. list me the stock of apple right now. make an alarm for the meeting with bob at seven today. foreign exchange rates,"['calendar_query', 'qa_stock', 'alarm_set', 'qa_currency']"
what's the temperature outside. please read my facebook feed. would you love to see. my set alarms,"['weather_query', 'social_query', 'iot_hue_lightchange', 'alarm_query']"
run the vacuum. can you tell me the times the train leaves for chicago,"['iot_cleaning', 'transport_query']"
i want to order chinese take-out,['takeaway_order']
write and send email to my boss,['email_sendemail']
do you know math,['qa_maths']
will it be a sticky night. what artist is this. find john smith in contacts,"['weather_query', 'music_query', 'email_querycontact']"
will i need an umbrella today,['weather_query']
how is my order. open games. what are the b. b. c. poll predictions for the upcoming us elections,"['takeaway_query', 'play_game', 'news_query']"
answer to pawel's email. tell me the recipe of. olly tweet apple that the iphone doesn't work,"['email_sendemail', 'cooking_recipe', 'social_post']"
confirm a travel ticket to german. delete my list. what day does my birthday fall on this year june twenty seventh,"['transport_ticket', 'lists_remove', 'datetime_query']"
tell me the temperature. what is the time in las vegas. make an order for noodles one pack make it as takeaway order. invite people to the calendar event,"['weather_query', 'datetime_query', 'takeaway_order', 'calendar_set']"
open songs from major lazer. turn off the bathroom light please. add this person's email. how tall is brad pitt,"['play_music', 'iot_hue_lightoff', 'email_addcontact', 'qa_factoid']"
change the lights in the living room to green and red,['iot_hue_lightchange']
please remove this event from my calendar,['calendar_remove']
can you tell me about the traffic. how long does it take to make vegetable lasagna. play next episode of harry potter by j. k. rowling. make a call to,"['transport_traffic', 'cooking_recipe', 'play_audiobook', 'email_querycontact']"
erase all the events. resume my audio book from karl pilkington. tell me the profession of celebrity,"['calendar_remove', 'play_audiobook', 'qa_factoid']"
what is new news for today,['news_query']
define elaborate. look up the number of people living in miami florida,"['qa_definition', 'qa_factoid']"
new pop music. remind me that i have a birthday party on the thirtieth. olly tell me my alarms,"['play_music', 'calendar_set', 'alarm_query']"
did i get new emails from sarah,['email_query']
start radio play,['play_radio']
describe what a sphere is. please add dinner with mary to my calendar on saturday,"['qa_definition', 'calendar_set']"
tell me the funniest joke that was ever told. what are my pending tasks. what is going on on december fourth,"['general_joke', 'calendar_query', 'calendar_query']"
on friday please put dentist appointment at three. could you please play the song from the artist madonna. don't talk until i ask you to. please set the alarm for next friday at six thirty am,"['calendar_set', 'play_music', 'audio_volume_mute', 'alarm_set']"
remove succeeding event. please clean my shopping list. what's the latest trump controversy,"['calendar_remove', 'lists_remove', 'news_query']"
olly how long should i boil the egg,['cooking_recipe']
i need to know the time right now what is it. tell my meetings for tomorrow morning,"['datetime_query', 'calendar_query']"
take out the milk from the shopping list,['lists_remove']
are there any free events on in my area today. meet with joe tomorrow at three,"['recommendation_events', 'calendar_set']"
lets hear the united states of anxiety podcast. olly change the color of the lights. please add my pay days,"['play_podcasts', 'iot_hue_lightchange', 'calendar_set']"
listen to radio,['play_radio']
play the most popular elton john song,['play_music']
what's jlo up to,['general_quirky']
how many hours distance is between my location and new york. cancel everything on my calendar,"['datetime_convert', 'calendar_remove']"
research the clients that will attend the meeting,['calendar_set']
please read new emails. cancel all my appointments,"['email_query', 'calendar_remove']"
is it going to rain later. save my opinion on adele's song. it's my mother's birthday today send me a notification every year on this date. resume my audio book from karl pilkington,"['weather_query', 'music_likeness', 'calendar_set', 'play_audiobook']"
do i have any new emails in the last hour,['email_query']
knock knock,['general_joke']
facebook current stock rate. cancel business meeting on wednesday. what is the time now in new york,"['qa_stock', 'calendar_remove', 'datetime_query']"
any mail from amazon today. at what time is the italian cafe closed between lunch and dinner,"['email_query', 'calendar_query']"
a quarter to two,['datetime_query']
give me up to date on sports news. what are today's sports news. i want to see the news. play me in tic tac toe,"['news_query', 'news_query', 'news_query', 'play_game']"
can you book a train ticket,['transport_ticket']
i need an alarm set for five hundred and thirty am tomorrow,['alarm_set']
tell me when i have an event,['calendar_set']
give me all available lists. i like music,"['lists_query', 'music_likeness']"
what's sensational in time of india,['news_query']
tell me the recipe of,['cooking_recipe']
find the list. is the last order is ready,"['lists_query', 'takeaway_query']"
could you please email john saying i'm on leave. remove my next event,"['email_sendemail', 'calendar_remove']"
say the list,['lists_query']
please clean my shopping list. bring me the title of current music. could you please play the song from the artist madonna. make the house lights amber at six p. m.,"['lists_remove', 'music_query', 'play_music', 'iot_hue_lightchange']"
what's my schedule like today. can they provide takeaway. please read my new mails,"['calendar_query', 'takeaway_query', 'email_query']"
from now on mute. who sings the song that i am listening to right now. is it wednesday,"['audio_volume_mute', 'music_query', 'datetime_query']"
olly what events are happening in pondichery this weekend. that last email needs to be answer a. s. a. p.,"['recommendation_events', 'email_sendemail']"
please set my alarm for five p. m.. can you send the email to the new email id,"['alarm_set', 'email_sendemail']"
show me the events in my work calendar for next week,['calendar_set']
how old are you. find a train ticket to philadelphia. is it friday,"['general_quirky', 'transport_ticket', 'calendar_query']"
i want to make a note on my calendar for the event tomorrow at the library. how much is amazon stock. play romantic music in nash f. m. ninety two point seven,"['calendar_set', 'qa_stock', 'play_radio']"
what is the least tornado prone state in the entire us,['qa_factoid']
play song aces high. daily news. what's happening in france today,"['play_music', 'news_query', 'news_query']"
erase that from my calendar,['calendar_remove']
take out available louies. divide seventy six in two parts. give details of rock sand,"['takeaway_query', 'qa_maths', 'qa_definition']"
show me news about trump. what day does my birthday fall on this year june twenty seventh. play the song i listen to the most. post my business on twitter,"['news_query', 'datetime_query', 'play_music', 'social_post']"
order one pizza from pizza hut. please turn up the screen brightness all the way,"['takeaway_order', 'iot_hue_lightup']"
can they do delivery. please schedule a meeting with this person,"['takeaway_query', 'calendar_set']"
post hey everyone on facebook,['social_post']
what i like today. reply thank you to john,"['general_quirky', 'email_sendemail']"
please tell me the score of the game. my day was extremely hard,"['general_quirky', 'general_quirky']"
olly anything else left on the list,['lists_query']
open parcheese game for you and i. do you know math,"['play_game', 'qa_maths']"
book train best deal. olly get me the popular news from b. b. c.. recipe please,"['transport_ticket', 'news_query', 'cooking_recipe']"
dollar to euro exchange rate. shall i change my car tires to snow tires soon. song title. what is my schedule for the day,"['qa_currency', 'weather_query', 'music_query', 'calendar_query']"
is there any special in politic,['news_query']
what's on my to-do list. describe what a sphere is. consequences to actions,"['lists_query', 'qa_definition', 'qa_definition']"
refer local current events,['recommendation_events']
can you tell me a little about yourself,['general_quirky']
describe hell,['qa_definition']
when is the next time it will rain,['weather_query']
could you repeat this event. send complaint via tweet to j. crew. send an email to my assistant clara to cancel all appointments for tomorrow,"['calendar_set', 'social_post', 'email_sendemail']"
remove the latest alarm,['alarm_remove']
how old is mariah carey. shut down the sound. how would you describe a ball,"['qa_factoid', 'audio_volume_mute', 'qa_definition']"
hey check email. silence for two hours,"['email_query', 'audio_volume_mute']"
play poker face by lady gaga. send this email to reply to the latest emails,"['play_music', 'email_sendemail']"
which contact haven't i called in twelve months,['email_querycontact']
what alarms did i set today. play only all music released between the year one thousand nine hundred and ninety and two thousand,"['alarm_query', 'play_music']"
directions please,['transport_query']
meeting reminders from three to five,['calendar_query']
i want to hear limelight by rush. do i have emails from this sender. delete the alarm i just set. play bob dylan playlist,"['play_music', 'email_query', 'alarm_remove', 'play_music']"
could you please play the song from the artist madonna,['play_music']
why are we here. who are your developers. describe the new football game rules,"['general_quirky', 'general_quirky', 'general_quirky']"
please play some jazz music,['play_music']
cancel my seven am alarm,['alarm_remove']
disable my okug. set lunch every day at twelve thirty. what was the first movie of morgan freeman. how old is clint eastwood,"['iot_wemo_off', 'calendar_set', 'qa_factoid', 'qa_factoid']"
today i saw a bulldog,['general_quirky']
lets have a chat,['general_quirky']
remind me the meeting with allen on fifteenth march. how about you,"['calendar_set', 'general_quirky']"
check unread emails from amy. show me events in sacramento,"['email_query', 'recommendation_events']"
remind me about this. remind me to start supper this afternoon at five,"['calendar_set', 'calendar_set']"
what are todays top podcasts,['play_podcasts']
olly what do i have planned next. remove tonights dinner with shelly,"['calendar_query', 'calendar_remove']"
brighten up the lighting,['iot_hue_lightup']
i have a nine am meeting on wednesday send me a reminder,['calendar_set']
what is the location of moldova. latest news on terrorism. facebook current stock rate. where is a walking trail near me,"['qa_factoid', 'news_query', 'qa_stock', 'recommendation_locations']"
please retweet this post on twitter,['social_post']
olly turn the light off in the living room. play techno music,"['iot_hue_lightoff', 'play_music']"
tell me how to make a poor boy sandwich,['cooking_recipe']
do you know any jokes. please find the radio station currently playing howard stern. what is the trending now. dim the lights in the living room,"['general_joke', 'play_radio', 'news_query', 'iot_hue_lightdim']"
add business contacts to contact list,['lists_createoradd']
delete alarm. when will the world end. can you please add an item to my grocery list,"['alarm_remove', 'general_quirky', 'lists_createoradd']"
please tell me what is the time in sanfranscio. please find a contact number of jayesh and tell me,"['datetime_query', 'email_querycontact']"
please alert me. turn off the alarm,"['calendar_set', 'alarm_remove']"
